POI-Scenic-List v1.3 update by 2020-06-05 Attribution: heweather.com,,,,,,,,,,,,
POI_ID,POI_Name_EN,景区名称,POI_Latitude,POI_Longitude,Country_code,Country_EN,国家名称,Location_ID,Adm1_EN,一级行政区划(Adm1),Adm2_EN,二级行政区划(Adm2)
10109030301A,Anguli Grasslands Holiday Resort,安固里草原度假村,41.3,114.4,CN,China,中国,101090303,Hebei,河北,Zhangjiakou,张家口
10128040902A,Lingguang Monastery,灵光寺,24.39,116.39,CN,China,中国,101280409,Guangdong,广东,Meizhou,梅州
10116030103A,Kongtong Mountain,崆峒山,35.54,106.52,CN,China,中国,101160301,Gansu,甘肃,Pingliang,平凉
10129080801A,World Dinosaur Valley,世界恐龙谷,24.96,102.07,CN,China,中国,101290808,Yunnan,云南,Chuxiong,楚雄
10110060301A,Manghe River Scenic Attraction,蟒河景区,35.24,112.45,CN,China,中国,101100603,Shanxi,山西,Jincheng,晋城
10129010107A,Yunnan Nationalities Village,云南民族村,24.96,102.66,CN,China,中国,101290101,Yunnan,云南,Kunming,昆明
10111020701A,Qian Mausoleum Museum,乾陵博物馆,34.55,108.23,CN,China,中国,101110207,Shaanxi,陕西,Xianyang,咸阳
10106060401A,Momoge National Nature Reserve,莫莫格国家级自然保护区,45.93,123.55,CN,China,中国,101060604,Jilin,吉林,Baicheng,白城
10125150502A,Qiliang Cave,奇梁洞,27.98,109.59,CN,China,中国,101251505,Hunan,湖南,Xiangxi,湘西
10114010104A,Potala Palace,布达拉宫,29.65,91.11,CN,China,中国,101140101,Xizang,西藏,Lasa,拉萨
10112110101A,Former Residence of Du Shoutian,杜受田故居,37.47,117.96,CN,China,中国,101121101,Shandong,山东,Binzhou,滨州
10108100103A,Hailaer Memorial Park of World Anti-Fascism War,世界反法西斯战争海拉尔纪念园,49.25,119.7,CN,China,中国,101081001,Neimenggu,内蒙古,Hulunbeier,呼伦贝尔
10104110001A,Small South Sea Tourist Attraction,小南海旅游景区,29.65,108.8,CN,China,中国,101041100,Chongqing,重庆,Chongqing,重庆
10127020101A,Golden Beach-Yangtze River International Rafting Base,金沙滩国际长江漂流基地,26.59,101.53,CN,China,中国,101270201,Sichuan,四川,Panzhihua,攀枝花
10112010110A,Qianfo Mountain Scenic Attraction,千佛山风景名胜区,36.63,117.03,CN,China,中国,101120101,Shandong,山东,Jinan,济南
10104050001A,Black Stone Mountain,黑石山,29.04,106.1,CN,China,中国,101040500,Chongqing,重庆,Chongqing,重庆
10103140002A,Nine Dragon Mountain National Forest Park,九龙山国家森林公园,40.14,117.5,CN,China,中国,101031400,Tianjin,天津,Tianjin,天津
10112030601A,Jiutian Cave Scenic Attraction,九天洞,36.27,118.07,CN,China,中国,101120306,Shandong,山东,Zibo,淄博
10107070102A,Jinzhou North Putuo Mountain Tourist Attraction,锦州北普陀山旅游区,41.16,121.06,CN,China,中国,101070701,Liaoning,辽宁,Jinzhou,锦州
