POI-Tidal-Station-List-latest v1.2 update by 2022-12-27,,,,,,,
POI_ID,POI_Name_Local,POI_Name_EN,POI_Name_ZH,POI_Latitude,POI_Longitude,POI_Type,ISO 3166
P2989,Darwin,Darwin,达尔文,-12.466666,130.85,Tidal Station,AU
P2194,Weipa,Weipa,韦帕,-12.666667,141.88333,Tidal Station,AU
P2233,Auckland,Auckland,奥克兰,-36.85,174.76666,Tidal Station,NZ
P2179,Wellington,Wellington,惠灵顿,-41.283333,174.78334,Tidal Station,NZ
P2755,Port Lyttelton,Port Lyttelton,利特尔顿港,-43.6,172.71666,Tidal Station,NZ
P2541,Bluff,Bluff,布拉夫,-46.6,168.35,Tidal Station,NZ
P2918,Samoa-Apia,Samoa-Apia,阿皮亚,-13.816667,-171.76666,Tidal Station,WS
P2171,Suva Harbour,Suva Harbour,苏瓦港,-18.133333,178.43333,Tidal Station,FJ
P2973,Dublon Island,Dublon Island,杜布隆岛,7.366667,151.55,Tidal Station,FM
P2157,Guam,Guam,关岛,13.433333,144.65,Tidal Station,GU
P2438,Honolulu,Honolulu,火奴鲁鲁,21.3,-157.86667,Tidal Station,US
P2445,长城站,Antarctica-Great Wall Station,长城站,-62.216667,-58.95,Tidal Station,AQ
P2316,อ่าวนาง,Ao Nang,奥南,8.016666,98.833336,Tidal Station,TH
P2960,,West Coast-Pak Nam Ranong,拉廊河口,9.95,98.6,Tidal Station,TH
P2922,Port-aux-Français,Port-Aux-Francais,法兰西港,-49.35,70.21667,Tidal Station,FR
P2588,မြိတ်မြို့,Mergui,丹老,12.433333,98.6,Tidal Station,MM
P2388,,Elephant Point,象角,16.483334,96.3,Tidal Station,MM
P2636,চট্টগ্রাম,Chittagong,吉大港,22.333334,91.833336,Tidal Station,BD
P2229,,Sagar Roads,萨格尔锚地,21.65,88.05,Tidal Station,IN
P2384,चेन्नई,Chennai,金奈,13.1,80.3,Tidal Station,IN
P2478,ත්‍රිකුණාමළය,Trincomalee,亭可马里,8.55,81.21667,Tidal Station,LK
P2599,කොළඹ,Colombo,科伦坡,6.95,79.85,Tidal Station,LK
P2508,,Kochi,戈奇,9.966666,76.26667,Tidal Station,IN
P2668,मुम्बई,Mumbai,孟买,18.916666,72.833336,Tidal Station,IN
P2747,भावनगर,India -Bhavnagar,巴夫那加尔,21.75,72.23333,Tidal Station,IN
P2141,بندر گاہ محمد بن قاسم (Entrance),Port Qasim(Entrance),卡西姆港-入口,24.7,67.15,Tidal Station,PK
P2239,بندر گاہ محمد بن قاسم (Pipri),Pakistan-Muhammed Bin Qasim Port (Pipri),卡西姆港-Pipri,24.783333,67.35,Tidal Station,PK
P2405,کراچی ,Karachi,卡拉奇,24.8,66.96667,Tidal Station,PK
P2963,پسنى,Pasni,伯斯尼,25.266666,63.483334,Tidal Station,PK
P2865,گوادر,Gwadar,瓜德尔,25.116667,62.333332,Tidal Station,PK
P2105,,Bandar Shahid Rejaie,沙希德拉贾伊港,27.1,56.066666,Tidal Station,IR
P2970,جزیره خارک,Kharg Island,哈尔克岛,29.266666,50.333332,Tidal Station,IR
P2505,,Khowr-E Musa Bar,穆萨湾,30,49.05,Tidal Station,IR
P2623,شط العرب (Outer Bar),Shatt al-Arab (Outer Bar),阿拉伯河,29.833334,48.716667,Tidal Station,IQ
P2637,,Mina Al Ahmadi,艾哈迈迪港,29.066668,48.166668,Tidal Station,KW
P2295,,Mina Saud,塞欧德港,28.733334,48.4,Tidal Station,SA
P2516,رأس تنورة,Saudi Arabia-Ras Tannurah,拉斯坦努拉,26.633333,50.166668,Tidal Station,SA
P2685,ميناء سلمان ,Mina Salman,塞勒曼港,26.2,50.6,Tidal Station,BH
P2997,,Musayid(Outer Channel Entrance),乌姆赛义德,25.033333,51.65,Tidal Station,QA
P2976,ميناء جبل علي,Mina Jebel Ali,杰贝阿里港,25,55.05,Tidal Station,AE
P2752,ميناء قابوس,Port Sultan Qaboos,卡布斯苏丹港,23.616667,58.566666,Tidal Station,OM
P2452,عدن,Aden,亚丁,12.783334,44.983334,Tidal Station,YE
P2986,جمهوريه جيبوتي,Djibouti,吉布提,11.583333,43.15,Tidal Station,DJ
P2381,السويس,Suez,苏伊士,29.933332,32.55,Tidal Station,EG
P2407,Venezia,Venice,威尼斯,45.433334,12.333333,Tidal Station,IT
P2686,صفاقس,Sfax,斯法克斯,34.733334,10.766666,Tidal Station,TN
P2287,Toulon,Toulon,土伦,43.116665,5.9166665,Tidal Station,FR
P2394,Gibraltar,Gibraltar,直布罗陀,36.133335,-5.35,Tidal Station,GI
P2984,Lisboa,Lisbon,里斯本,38.716667,-9.116667,Tidal Station,PT
P2832,Pointe de Grave,Pointe de Grave,格拉沃角,45.566666,-1.0666667,Tidal Station,FR
P2807,La Pallice,La Pallice,拉罗谢尔－帕利斯,46.166668,-1.2166667,Tidal Station,FR
P2757,Saint-Nazaire,Saint-Nazaire,圣纳泽尔,47.266666,-2.2,Tidal Station,FR
P2308,Brest,Brest,布雷斯特,48.383335,-4.5,Tidal Station,FR
