POI-Port-List-latest v1.0 update by 2020-12-12,,,,,,,,,,,,,,
POI_ID,POI_Name_EN,POI_Name_ZH,POI_Latitude,POI_Longitude,POI_Type,Country_code,Country_EN,Country_ZH,Location_Name_EN,Location_Name_ZH,Adm2_EN,Adm2_ZH,Adm1_EN,Adm1_ZH
P2916,zhenhai,镇海,29.98333,121.73333,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
P2244,beilungang,北仑港,29.93442,121.84833,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
P2680,qitoujiao,崎头角,29.907,122.1195,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
P2584,meishan,梅山,29.82217,122.00972,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
P2559,xize,西泽,29.61667,121.83333,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
P2793,shipu,石浦,29.21667,121.96667,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
P2275,qimen〖kg*2〗gang,旗门港,29.15,121.46667,Port,CN,China,中国,Taizhou,台州,,,Zhejiang,浙江
P2570,jiantiao,健跳,29.03333,121.6,Port,CN,China,中国,Taizhou,台州,,,Zhejiang,浙江
P2647,yushan,鱼山,28.88333,122.26667,Port,CN,China,中国,Ningbo,宁波,,,Zhejiang,浙江
P2259,xiadachen,下大陈,28.455,121.905,Port,CN,China,中国,Taizhou,台州,,,Zhejiang,浙江
P2735,haimen,海门,28.68617,121.45083,Port,CN,China,中国,Taizhou,台州,,,Zhejiang,浙江
P2286,haimen〖kg*2〗gang(baisha),海门港,28.7,121.63333,Port,CN,China,中国,Taizhou,台州,,,Zhejiang,浙江
P2894,dongmencun,东门村,28.33333,121.21667,Port,CN,China,中国,Taizhou,台州,,,Zhejiang,浙江
P2159,kanmen,坎门,28.08333,121.28333,Port,CN,China,中国,Taizhou,台州,,,Zhejiang,浙江
P2633,damendao(huangdaao),大门岛,27.95,121.03833,Port,CN,China,中国,Wenzhou,温州,,,Zhejiang,浙江
P2409,wenzhou,温州,28.02833,120.625,Port,CN,China,中国,Wenzhou,温州,,,Zhejiang,浙江
P2197,ruian,瑞安,27.785,120.62,Port,CN,China,中国,Wenzhou,温州,,,Zhejiang,浙江
P2240,nanjishan,南麂山,27.465,121.06317,Port,CN,China,中国,Wenzhou,温州,,,Zhejiang,浙江
P2306,sansha,三沙,26.91667,120.21667,Port,CN,China,中国,Ningde,宁德,,,Fujian,福建
P2134,saiqi,赛岐,26.96667,119.66667,Port,CN,China,中国,Ningde,宁德,,,Fujian,福建
P2532,bangmen,帮门,26.75,119.58333,Port,CN,China,中国,Ningde,宁德,,,Fujian,福建
P2891,luoyuanjitou,罗源迹头,26.46667,119.68333,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2115,huangqi,黄岐,26.31806,119.88195,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2289,mawei,马尾,25.96283,119.46638,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2414,fuqingwan(songxiagang),福清湾,25.68333,119.58333,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2137,zhuyu,竹屿,25.51667,119.73333,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2536,langguan,郎官,25.56667,119.3,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2683,minjiangkou(chuanshi),闽江口-川石,26.13277,119.65695,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2848,minjiangkou(guantou),闽江口-琯头,26.13,119.55667,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2168,pingtan,平潭,25.45833,119.84833,Port,CN,China,中国,Fuzhou,福州,,,Fujian,福建
P2113,sanjiangkou,三江口,25.41667,119.11667,Port,CN,China,中国,Putian,莆田,,,Fujian,福建
P2903,xiuyu,秀屿,25.14833,119.02,Port,CN,China,中国,Putian,莆田,,,Fujian,福建
P2671,tiwu,梯吴,25.13333,119.03333,Port,CN,China,中国,Putian,莆田,,,Fujian,福建
P2180,chongwu,崇武,24.87667,118.95833,Port,CN,China,中国,Quanzhou,泉州,,,Fujian,福建
P2780,houzhu,后渚,24.9,118.66667,Port,CN,China,中国,Quanzhou,泉州,,,Fujian,福建
P2243,quanzhou(shihu),泉州,24.81667,118.7,Port,CN,China,中国,Quanzhou,泉州,,,Fujian,福建
P2912,shenhugang,深沪港,24.63167,118.675,Port,CN,China,中国,Quanzhou,泉州,,,Fujian,福建
P2816,weitou,围头,24.51667,118.56667,Port,CN,China,中国,Quanzhou,泉州,,,Fujian,福建
P2849,shijing,石井,24.63412,118.4295,Port,CN,China,中国,Quanzhou,泉州,,,Fujian,福建
P2929,xiamen,厦门,24.44833,118.07,Port,CN,China,中国,Xiamen,厦门,,,Fujian,福建
P2350,jiangjunao,将军澳,24.03333,117.9,Port,CN,China,中国,Zhangzhou,漳州,,,Fujian,福建
P2528,shima,石码,24.45083,117.81767,Port,CN,China,中国,Zhangzhou,漳州,,,Fujian,福建
P2982,dongshan,东山,23.74333,117.52333,Port,CN,China,中国,Zhangzhou,漳州,,,Fujian,福建
P2340,magong,马公,23.55,119.56667,Port,CN,China,中国,Taiwan Province,台湾省,,,Taiwan,台湾
P2334,jilong,基隆,25.15,121.73333,Port,CN,China,中国,Taiwan Province,台湾省,,,Taiwan,台湾
